################################
# Rewrites from Unicode standard
# Unicode version 12.0: Chapter 12.6

# Table 12-26: Tamil Vowel Letters

அூ	ஆ

# Figure 12-23: Tamil Ligatures with ra

ா்	ர்
ாி	ரி
ாீ	ரீ

# Figure 12-24: Tamil Ligatures for shri

ஸ்ரீ	ஶ்ரீ

###########################################################
# Additional rewrites for the usages found in web documents

# Vowel Letter UU
உௗ	ஊ

# Vowel Signs

# To cover the usage like: துா for தூ
ுா	ூ

# Right part of SIGN O acts as RA
ொ்	ெர்
ொா	ெரா
ொி	ெரி

# Right part of SIGN OO acts as RA
ோ்	ேர்
ோா	ேரா
ோி	ேரி

# Right part of SIGN AU acts as LLA
ௌ்	ெள்
ௌா	ெளா
ௌி	ெளி
