######################################
# Rewrites from Unicode standards text

# Devanagari Vowel Letters
# Unicode Standard Version 12.0: Chapter 12.1: Table 12-1

अॆ	ऄ
अा	आ
र्इ	ई

# TODO: I haven't seen any font at all that renders this example the
# same, so maybe should be dropped, though it is listed in The Unicode Standard.
उु	ऊ

एॅ	ऍ
एॆ	ऎ
एे	ऐ

अाॅ	ऑ
आॅ	ऑ

अॊ	ऒ
आॆ	ऒ

अो	ओ
आे	ओ

अाै	औ
आै	औ

अॅ	ॲ
अऺ	ॳ
अाऺ	ॴ
ॵꣿ	ॵ
अॖ	ॶ
अॗ	ॷ

# Devanagari Atomic Consonants
# Unicode Standard Version 12.0: Chapter 12.1: Table 12-2

ख्ा	ख
ख्‍ा	ख
ग्ा	ग
ग्‍ा	ग
घ्ा	घ
घ्‍ा	घ
च्ा	च
च्‍ा	च
ज्ा	ज
ज्‍ा	ज
झ्ा	झ
झ्‍ा	झ
ञ्ा	ञ
ञ्‍ा	ञ
ण्ा	ण
ण्‍ा	ण
त्ा	त
त्‍ा	त
थ्ा	थ
थ्‍ा	थ
ध्ा	ध
ध्‍ा	ध
न्ा	न
न्‍ा	न
ऩ्ा	ऩ
ऩ्‍ा	ऩ
ऩ्ा	ऩ
ऩ्‍ा	ऩ
प्ा	प
प्‍ा	प
ब्ा	ब
ब्‍ा	ब
भ्ा	भ
भ्‍ा	भ
म्ा	म
म्‍ा	म
य्ा	य
य्‍ा	य
ल्ा	ल
ल्‍ा	ल
व्ा	व
व्‍ा	व
श्ा	श
श्‍ा	श
ष्ा	ष
ष्‍ा	ष
स्ा	स
स्‍ा	स
ख़्ा	ख़
ख़्‍ा	ख़
ख़्ा	ख़
ख़्‍ा	ख़
ग़्ा	ग़
ग़्‍ा	ग़
ग़्ा	ग़
ग़्‍ा	ग़
ज़्ा	ज़
ज़्‍ा	ज़
ज़्ा	ज़
ज़्‍ा	ज़
य़्ा	य़
य़्‍ा	य़
य़्ा	य़
य़्‍ा	य़
ॹ्ा	ॹ
ॹ्‍ा	ॹ
ॺ्ा	ॺ
ॺ्‍ा	ॺ
ॻ्ा	ॻ
ॻ्‍ा	ॻ
ॼ्ा	ॼ
ॼ्‍ा	ॼ
ॾ्ा	ॾ
ॾ्‍ा	ॾ
ॿ्ा	ॿ
ॿ्‍ा	ॿ

# Devanagari Consonant Conjuncts
# Unicode Standard Version 12.0: Chapter 12.1: Table 12-3

क्च्ा	क्च
क्च्‍ा	क्च

क्ष्ा	क्ष
क्ष्‍ा	क्ष

त्त्ा	त्त
त्त्‍ा	त्त

न्त्ा	न्त
न्त्‍ा	न्त

# RA + Vocalic Letter Ligature Forms
# Unicode Standard Version 12.0: Chapter 12.1: Table 12-6
# RA, VIRAMA, LETTER VOCALIC (R, RR, L, LL) → RA, SIGN VOCALIC (R, RR, L, LL)

र्ऋ	रृ
र्ॠ	रॄ
र्ऌ	रॢ
र्ॡ	रॣ

# Eyelash reph: RA, VIRAMA, ZWJ → RRA, VIRAMA
# Unicode Standard Version 12.0: Chapter 12.1: Dead Consonant Rule: R5, R5a

र्‍	ऱ्

###############################################################
# Additional Rewrites for the usages found in the web documents

# Additional look alikes for the above
अे	ऄ

# Decompositions using ZWJ for the above
अ‍ऺ	ॳ
अ‍ॅ	ॲ
अ‍ॆ	ऄ
अ‍ॖ	ॶ
अ‍ॗ	ॷ
अ‍ा	आ

# CANDRA A, SIGN (ANUSVARA|CANDRABINDU) → A, SIGN CANDRABINDU
ॲं	अँ
ॲँ	अँ

# A, SIGN CANDRA E, SIGN (ANUSVARA|CANDRABINDU) → A, SIGN CANDRABINDU
अॅं	अँ
अॅँ	अँ

